,tweet_id,author_id,tweet_text
0,1541448198534926338,1487787615399120896,All you liberal @TheDemocrats that are on a sex strike don't worry nobody wants to have sex with you anyway that's why you'll never need an abortion.
1,1540808982775926784,1487787615399120896,"All you #Liberal @TheDemocrats need to be like the glass is half full, kinda of people. I'll help yall. Yall love Abortion, well look at SCOTUS like this, Roe v Wade was just ABORTED."
2,1540421352016023552,1508966240055803906,"Totally here for the anti-abortion bill, but can both canada and the states focus on helping and rearranging the foster care and adoption system? Let's make sure woman know there's an ulternitive that they can feel safe about. Let's give these kids a good chance."
3,1540348096072269826,49679077,"Nancy Pelosi calls stopping the killing of unborn babies ""dark &amp; extreme"". That tells me all I need to know about liberals right there."
4,1540338949314461696,49679077,"ROE V. WADE REVERSED!!!!!!! PRAISE GOD!!!!!!!
Lives WILL be saved because of this SC decision!!!!"
5,1542189337235824640,1481583187272904706,"Alright @PureMichigan I’ve done some math. 😂 Abortion advocates claim the “vast majority” want abortion legal. 
I calculated this from the US census.

ONLY 7.6% of ADULTS in MI want it legal. Call me crazy but, that’s NOT the “majority”. 

Here’s the breakdown⬇️⬇️⬇️"
6,1541792838593167363,1313466627619463171,Abortion is not birth control.
7,1541792747274764290,1313466627619463171,"I am against abortion because it harms the mother as well as the baby. Let’s talk about health issues from abortions (deaths!), uterine scarring, impaired fertility, mental and emotional damage, depression. It is not a “harmless procedure”."
8,1540889612700229633,1313466627619463171,I feel hopeful for our nation for the first time in a long time! Babies will get a chance. Mothers will know their children. Let’s pray for every state to turn away from the evil of abortion!
9,1540321534430044160,1481583187272904706,Supreme Court will continue to announce the remaining 9 case decisions TODAY @ 10am ET. Hopefully Roe v Wade decision will be announced! #overturnroevwade
10,1541673760956227586,1544672425,"This debate about abortion boils down to an important lesson about life that every person needs to learn at some point:

It's not about you."
11,1541482571594334209,1292947747964887046,"How can abortion have a right? A Child must have a right. A Child is a human, then it has a right. All humans have a right, no matter what age. If it’s a human, it has a right. If it’s not a human, then it has no right, meaning it is not alive."
12,1540795948858855426,1519070611020124162,"If only people got up in arms about unfair taxation as they did with abortion and other civil issues.
I guess that sort of widespread attitude hasn't been seen since the founding fathers."
13,1540399861693960193,1532313119564783618,SO happy Roe V Wade was overturned! This is a great step in the right direction!
14,1543080603054137345,1493302252424990724,"""Omg my rights are gone! I'm so done with America!""

Says every woman in a state where abortion is still legal"
15,1540650126154268672,1522554032614690817,Abortion has become to easy. Woman and men need to be taught about safe sex. Birth control is readily accessible and at low cost or free. Teach your kids human life is valuable and they have a responsibility to uphold it.
16,1540462437169860608,1453685966099685381,"KY Baptists, we must do much more than merely praise God for the overturn of Roe vs Wade. It's time to  turn our eyes, prayers and financial donations toward Sunrise Children's Services and pro-life pregnancy centers across the Commonwealth."
17,1540348224048926731,1522554032614690817,Biden a life long Catholic is against the ruling of Roe vs Wade.
18,1540345519922462722,1453685966099685381,"Hallelujah, Hallelujah, Praise the Lord! Thank you Father God! That's one small step for man. One giant step for the unborn!!!"
19,1540341259339964421,180478179,Roe vs. Wade has been overturned!!!
20,1540332530032939008,1522554032614690817,Whatever decision is made today about abortion whether I agree with it or not I would never hurt others or threaten justices for the opinion of the court.
21,1540331490357174276,1522554032614690817,I don’t care what your opinion is on guns and abortion but don’t be angry when someone has a different opinion than yours. The opinion of journalists and Hollywood celebs is just that an opinion not the law of the land. The Supreme Court makes that decision.
22,1541634266362159105,207586674,"The oldwr I get the more conservative I get in some ways. I personally think abortion is a tough one. When does life start etc? Regardless of where my PERSONAL beliefs go, it is not my right to force those beliefs on others, especially women. So I do believe SCOTUS is wrong."
23,1541439045993222144,207586674,"The powers that be including help from overseas governments has gotten the desired result. The middle class is at war with itself being it about guns, abortion, the economy, immigration etc. The powers that be have us blaming each other instead of holding authority accoutable!!!"
24,1541415637179842562,207586674,"Now that the SCOTUS has overturned Roe V. Wade, they must mandate that NASCAR has to go around their ovals CLOCKWISE!! Really screw the bible belt up!"
25,1541408875127226369,207586674,"When it comes to Abortion and Guns, could the MINORITY GOP be more out of touch??????????Both of their solutions is not what the MAJORITY  of American citizens want!!!!"
26,1541406467462496260,207586674,"If the United States went by the popular vote,(you know, THE PEOPLE)the SCOTUS would have NEVER had the justices to overturn Roe v. Wade. It is time to go with THE WILL OF THE PEOPLE.Minority Pro-Life and Minority NRA still control the conversation!!! Get rid of ELECTORAL COLLEGE"
27,1540834269039296515,378555429,"One of the best parts about the fact that Roe V Wade was overturned was that it happened during Pride month. At the start of the month, women didn't know if they wanted to be called ""she/her"" but now, it's all about women's rights. Guess you figured out your gender real quick."
28,1540812307936280578,378555429,"When you get to the point that you rejoice in the fact you got an abortion, and you don't find it to be heartbreaking, you have crossed into the saddest point of your own existence. And you are blind to it."
29,1540568458231963648,1450171521108877314,"(1/3)
All I can do is give thanks to the Lord that Roe v. Wade has been overturned, which in turn, allows the issue of abortion to be returned to the States."
30,1540352698339323904,1540351926591574016,VICTORY!! The Supreme Court has overturned Roe V Wade!!🇺🇲🇺🇲
