,tweet_id,author_id,created_at,retweet_count,reply_count,like_count,quote_count,tweet_text,root_username
0,1540365134962606087,45594863,2022-06-24 16:04:01+00:00,0,0,0,0,Kinda late for pearl clutching. You could have broke #filibuster codified Roe but the Dems have become feckless 🐥 💩… if GOP gets full power in Exec and congress they’ll whiplash and say FEDS can regulate abortion and make a complete FEDERAL BAN. I don’t recognize this country.,NARAL
1,1540357558262796289,159299531,2022-06-24 15:33:55+00:00,0,1,1,0,"I was born just after Roe was decided
I have known most of my life that my father wanted my mother to get a back alley abortion, he did not love either of us enough

I would never have known that I was not born but my older brother would have been left without a mother",NARAL
2,1540348177722777606,159299531,2022-06-24 14:56:38+00:00,2,0,0,0,"IF YOU PASS THROUGH THE STATE OF MISSOURI AND CONCEIVE A CHILD YOU ARE BANNED FROM GETTING AN ABORTION, EVEN IF YOU DON'T LIVE THERE

#abortionrights",NARAL
3,1541484009422741504,2810020026,2022-06-27 18:10:01+00:00,1,0,1,0,"The overturning of Roe v Wade has far reaching implications for PCOS.

And I want to help.

One way I can help is to do my best to help educate you on HOW EXACTLY to track your cycles when you have PCOS. Because knowing when you're in your fertile window is the key to having cont",NARAL
4,1541122247607418881,1196122284668444679,2022-06-26 18:12:31+00:00,0,1,0,0,"“I am not anti-abortion. I believe abortion should be done in the first trimester.” 

News flash!🚨✨I live in the state of Texas and they banned abortion passed 6 weeks since May 2021 - it is now completely banned in the state of Texas due to the overturn of Roe vs Wade! 🔥✨",NARAL
5,1540674238385819648,3226289417,2022-06-25 12:32:17+00:00,0,0,1,0,Yesterdays ruling isn’t about abortion it’s about control over women.  They won’t stop until it is total control like the leader of a cult.  Shariah law !  This ruling is about religion!  They are imposing their antiquated believe upon women.,NARAL
6,1540371642873831425,1196122284668444679,2022-06-24 16:29:53+00:00,0,0,1,0,"Do NOT donate to the Democrats - donate to the abortion funds! 🔥✨

💖 @JanesDueProcess
❤️ @westfundtx
🧡 @casnhtx 
💛 @TheBridgeATX 
💚 @FundTexasChoice 
💙 @TheAfiyaCtr 
💜 @LaFronteraFund 
🖤 @TEAFund 
🤎 @WWHAlliance 
💕 @lilithfund
💘 @BBFundTX

#RoeVsWade 🔥✨💖",NARAL
7,1540354243567054849,1196122284668444679,2022-06-24 15:20:44+00:00,0,0,1,0,"Protect these places at all costs! ✨

💖 @JanesDueProcess
❤️ @westfundtx
🧡 @casnhtx 
💛 @TheBridgeATX 
💚 @FundTexasChoice 
💙 @TheAfiyaCtr (home of SYS Fund)
💜 @LaFronteraFund 
🖤 @TEAFund 
🤎 @WWHAlliance (home of Stigma Relief Fund)
💕 @lilithfund
💘 @BBFundTX

#RoeVWade 💖",NARAL
8,1540344190143500289,3152486779,2022-06-24 14:40:47+00:00,0,0,2,0,"“Above all others, women lacking financial resources with suffer from today’s decision.” - the dissent. 

Here’s hoping the abortion movement keeps these women front and center to ensure they get the healthcare that they desperately need.",NARAL
9,1540308930236137474,1186371225020518401,2022-06-24 12:20:41+00:00,0,2,0,0,"The amount of people being absolutely giddy over the overturn of Roe V Wade is so insane. It's not a lit, but way too many.",NARAL
10,1543335657128476673,298015007,2022-07-02 20:47:49+00:00,139,10,431,3,"The Republican men making abortion a felony fully understand that women raising children are less likely to show up in the workplace, in politics, in any place where they might challenge the power of conservative men. /1",NARAL
11,1541023125508395008,195190454,2022-06-26 11:38:38+00:00,0,0,0,0,"Fellow FL peeps- make no mistake, if @GovRonDeSantis is re-elected he will push a full abortion ban.",NARAL
12,1540735751133880321,298015007,2022-06-25 16:36:43+00:00,8,2,31,0,"Overturning Roe v. Wade is just more relentless, predatory violence against women by the white, male christian supremacists that are the Republican Party. These extremists will never stop being predators, will never stop attacking. They are coming for all of us. #BlueWave2022",NARAL
13,1540381991035719680,298015007,2022-06-24 17:11:00+00:00,15,2,34,0,"The modern GOP is a weaponized product of our dominance-based male supremacist culture of masculinity. Republican men debase, control, dominate and rape women as the central method for validating their masculinity. Overturning Roe v Wade will kill women. That’s a win for GOP men.",NARAL
14,1540377299777818624,16122143,2022-06-24 16:52:21+00:00,1,1,2,0,"Gay people exist, abortion is a medical procedure between a women and her doctor, people should have access to contraception without gov interference, the filibuster is outdated, and a partisan body of 9 unelected officials should not have the power to make national policy change",NARAL
15,1541807577318801409,26529616,2022-06-28 15:35:46+00:00,4,0,12,0,"I know two young mothers who now will not chance another pregnancy for fear they can’t receive abortion as emergency healthcare should they have ectopic pregnancies. Don’t want to leave the children they have as motherless.   

This misogynistic cruelSCOTUS ruling must be undone.",NARAL
16,1541531395968839680,1540887476025167873,2022-06-27 21:18:19+00:00,0,0,0,0,"Am I missing something? There’s some news coverage of the roe vs wade decision, and coverage of the protests &amp; fallout to some extent. BUT, given that we’re witnessing SCOTUS dismantle the constitution in a multitude of ways, shouldn’t that be the BIGGEST news story ever?",NARAL
17,1541020740824301568,26529616,2022-06-26 11:29:10+00:00,1,0,6,0,"WHO—“Mothers aged 10–19 years face higher risks of eclampsia, puerperal endometritis…systemic infections…3.9 million unsafe abortions among girls aged 15–19 years occur yearly contributing to maternal mortality.

Abortion is healthcare. For our girls.",NARAL
18,1540486468950528000,236968152,2022-06-25 00:06:09+00:00,286,103,1619,17,"Virginia is now a sanctuary state for women in Kentucky and throughout the south who need safe, legal access to abortion — but @GovernorVA wants to go “on offense” here.

We will not go back.",NARAL
19,1540434924796248066,1054114871372062720,2022-06-24 20:41:20+00:00,10,1,38,0,"Remember today to use inclusive language when talking about the overturn of Roe v Wade.

This does not only affect women, it affects all people who can carry a child as well as their partners.",NARAL
20,1540405882525188098,1054114871372062720,2022-06-24 18:45:56+00:00,8,4,43,0,"Nothing about this is pro-life.

This WILL end in people dying unnecessarily. 
This WILL end in mothers not getting access to care.

Why do you think Roe v Wade was established in the first place? Because abortions won’t ever stop happening.

SAFE abortion will stop happening.",NARAL
21,1540401567811211271,109297546,2022-06-24 18:28:47+00:00,0,0,1,0,Just donated to @MidwestAccess which helps women in states than ban abortion (like MO) cover travel expenses to get to states that can help them. Today feels hopeless. But have to do what we can. #RoeVsWade,NARAL
22,1540356935115063296,26529616,2022-06-24 15:31:26+00:00,0,0,6,0,"My 20-something daughter’s reaction to Roe V Wade being overturned? 

“Burn it all down!”",NARAL
23,1540345781282119681,236968152,2022-06-24 14:47:07+00:00,18,5,84,2,"The Supreme Court has just overturned Roe v. Wade in a staggering rollback of human rights. Don't think they will stop here.

While abortion access remains legal in VA today, I will continue fighting daily to protect our rights and the rights of our daughters. 

This isn't over.",NARAL
24,1543256737100181504,1274485502758940673,2022-07-02 15:34:13+00:00,2,9,45,1,"I was once a 10-year-old little girl. I cannot imagine being raped, impregnated and then going through an abortion. 

Our children are being seriously harmed by American life.",NARAL
25,1543219536580804608,1271229734324666368,2022-07-02 13:06:23+00:00,114,4,794,3,"How we talk about abortion has a deep effect on sex workers. 

We talk about needing one for survivors, for ectopic pregnancies, or to avoid birthing babies into poverty or the foster care system.

But for some people, sex is what they do for work.",NARAL
